%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1752629979234833002,0,1752629979234833002,map,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1752629980234577894,1,1752629980234577894,map,-0.000365608376521,0.000258523591363,0.000193975677554,0.000171819901207,-2.90113538552e-05,-0.000304815654068,0.999999940395
1752629981234656095,2,1752629981234656095,map,-0.000506214912262,0.000134142421902,0.00028876308965,0.000254240458914,-2.49597178888e-05,-0.000282740619843,0.999999925494
1752629982234539031,3,1752629982234539031,map,3.66212156407e-05,1.04825325312e-06,3.98524677549e-05,4.9121927809e-05,0.000151786395224,-2.46812363952e-05,0.999999985099
1752629983234687089,4,1752629983234687089,map,9.58187060843e-05,7.84468103899e-06,-3.80846279241e-05,-2.53023820998e-06,0.00022742458482,-4.69483852961e-05,0.999999970198
1752629984234463930,5,1752629984234463930,map,0.000125522021715,-0.000120045897849,-5.50715759628e-05,9.5035386747e-05,0.000107732718682,3.04536736162e-05,0.999999992549
1752629985234664916,6,1752629985234664916,map,1.0967752338e-05,-5.77134697711e-05,-3.46668698096e-06,7.72809435148e-05,-8.43411226015e-06,-2.26918325552e-06,1.0
1752629986234509944,7,1752629986234509944,map,-4.92526311225e-06,4.61620340075e-05,8.17838509298e-05,2.41393195211e-06,2.82170612991e-05,-4.19834323111e-05,1.0
1752629987234448909,8,1752629987234448909,map,4.46395428226e-05,-1.05113721953e-05,7.95542971544e-05,4.47850779892e-05,4.09462627431e-05,-2.6802852517e-05,1.0
1752629988234736919,9,1752629988234736919,map,6.96780316698e-05,1.06506028111e-05,-5.29818818886e-05,9.65704566624e-06,6.09207268099e-06,-6.4667830884e-05,1.0
1752629989234611034,10,1752629989234611034,map,9.75057306487e-05,-3.78168037939e-05,-1.6033165462e-05,3.89595843444e-05,9.12766663532e-05,-2.73852765531e-05,1.0
1752629990234535932,11,1752629990234535932,map,0.000140061071229,-7.57995308351e-05,-4.25282705712e-05,5.80744854233e-05,5.45683360542e-05,-2.74229651041e-05,1.0
1752629991234548091,12,1752629991234548091,map,4.18827592631e-05,-3.44426617936e-05,1.75343684415e-05,5.20083940501e-05,-5.5015889302e-06,-3.84919439966e-05,1.0
1752629992234571933,13,1752629992234571933,map,0.000113455903197,-0.000103024840834,-3.82315913661e-05,3.59628938895e-05,-8.34072961879e-05,-7.31932573217e-06,1.0
1752629993234803915,14,1752629993234803915,map,0.000131469977982,-9.6070927679e-06,9.65747988956e-06,1.97298886633e-05,-5.7562472648e-05,-6.72427195241e-05,1.0
1752629994234586954,15,1752629994234586954,map,8.61174610082e-05,1.60607605559e-05,-7.05813863576e-05,-1.23148784959e-05,-8.90457965665e-05,-9.94300688167e-05,0.999999992549
1752629995234515905,16,1752629995234515905,map,0.000120131840694,2.13973317703e-05,-2.16862891927e-05,8.29060536489e-06,-1.77939427886e-05,-9.78879106697e-05,1.0
1752629996242499113,17,1752629996242499113,map,0.000186196963531,-3.43685334467e-05,4.16834120323e-06,4.18154813815e-05,2.95868048852e-05,-8.26595714898e-05,1.0
1752629997234487056,18,1752629997234487056,map,0.000179029062198,-3.04664075454e-05,-4.30806546573e-05,3.44853415299e-05,-5.10676054546e-05,-9.56341173151e-05,1.0
1752629998234555006,19,1752629998234555006,map,0.000280378115071,-8.37317141017e-05,-6.67442537093e-05,-2.22679665807e-05,-0.000117718173864,-0.000118139830163,0.999999992549
1752629999234512090,20,1752629999234512090,map,0.000454628082948,-5.07147646799e-05,-0.000358182165698,-0.000131080775981,4.13927134063e-05,-0.000224172109649,0.999999962747
1752630000233841896,21,1752630000233841896,map,0.000241814852492,-8.28577099319e-06,-0.000207799291011,-0.000106189475091,-0.000121937943729,-0.000120948489869,0.999999977648
1752630001234503984,22,1752630001234503984,map,0.000511220584006,-4.55958314879e-05,-0.000109183347584,-5.00500599356e-05,-0.00021397712796,-0.000222650870244,0.999999947846
1752630002238490104,23,1752630002238490104,map,0.00100871260528,-0.000216969482725,-0.000315415447005,-0.000110846384375,-0.000442683814903,-0.000453973193009,0.999999798834
1752630003234489917,24,1752630003234489917,map,0.00114552245705,-0.000240903985633,-0.000283293959265,-7.94643930676e-05,-0.000848234371194,-0.000613302854426,0.999999448657
1752630004234500885,25,1752630004234500885,map,0.00161924913878,-0.000321027183703,-0.000236551433945,9.90337045678e-05,-0.000781281624241,-0.000765436558056,0.999999396503
1752630005234471082,26,1752630005234471082,map,0.00248425224512,-0.000626501457442,0.00010891870683,0.00041989366099,-0.000947799635,-0.000986158639397,0.999998971819
1752630006234952926,27,1752630006234952926,map,0.00329096008202,-0.000792737091728,0.000550674930734,0.000640893302987,-0.00106635739922,-0.00141864866014,0.99999821931
1752630007234494924,28,1752630007234494924,map,0.00778792822119,-0.00133558789597,0.0024825848533,0.00153593727675,-0.000511718815605,-0.00239656507036,0.999995812765
